"table_catalog","table_schema","table_name","column_name"
"orders-db","public","dim_customer","first_name"
"orders-db","public","dim_customer","last_name"
"orders-db","public","dim_customer","date_of_birth"
"orders-db","public","dim_customer","company"
"orders-db","public","dim_customer","email"
"orders-db","public","dim_customer","address"
"orders-db","public","dim_customer","country"
"orders-db","public","dim_customer","country_code"
"orders-db","public","dim_customer","join_date"
"orders-db","public","dim_customer","user_uuid"
