"table_catalog","table_schema","table_name","column_name"
"orders-db","public","dim_date","quarter"
"orders-db","public","dim_date","year"
"orders-db","public","dim_date","day"
"orders-db","public","dim_date","start_of_year"
"orders-db","public","dim_date","start_of_monthj"
"orders-db","public","dim_date","start_of_quarter"
"orders-db","public","dim_date","date"
"orders-db","public","dim_date","start_of_week"
"orders-db","public","dim_date","day_of_week"
"orders-db","public","dim_date","month_name"
