"table_catalog","table_schema","table_name","column_name"
"orders-db","public","dim_product","cost_price"
"orders-db","public","dim_product","sale_price"
"orders-db","public","dim_product","EAN"
"orders-db","public","dim_product","date_added"
"orders-db","public","dim_product","product_uuid"
"orders-db","public","dim_product","availability"
"orders-db","public","dim_product","product_code"
"orders-db","public","dim_product","country_code"
"orders-db","public","dim_product","description"
"orders-db","public","dim_product","country_name"
"orders-db","public","dim_product","weight"
"orders-db","public","dim_product","category"
