"table_catalog","table_schema","table_name","column_name"
"orders-db","public","orders","total_orders"
"orders-db","public","orders","card_number"
"orders-db","public","orders","product_quantity"
"orders-db","public","orders","store_code"
"orders-db","public","orders","product_code"
"orders-db","public","orders","order_date_uuid"
"orders-db","public","orders","ship_date_uuid"
"orders-db","public","orders","order_date"
"orders-db","public","orders","user_id"
"orders-db","public","orders","shipping_date"
