"table_catalog","table_schema","table_name","table_type","self_referencing_column_name","reference_generation","user_defined_type_catalog","user_defined_type_schema","user_defined_type_name","is_insertable_into","is_typed","commit_action"
"orders-db","public","test_store_overview","VIEW","","","","","","NO","NO",""
"orders-db","public","store_summary_view_new","VIEW","","","","","","NO","NO",""
"orders-db","public","x","VIEW","","","","","","NO","NO",""
"orders-db","public","view_1","VIEW","","","","","","NO","NO",""
"orders-db","public","store_sales","VIEW","","","","","","NO","NO",""
"orders-db","public","storenewtypesalesview","VIEW","","","","","","NO","NO",""
"orders-db","public","storetypesalesview3new","VIEW","","","","","","NO","NO",""
"orders-db","public","store_summary_view1","VIEW","","","","","","NO","NO",""
"orders-db","public","stores_overview","VIEW","","","","","","NO","NO",""
"orders-db","public","question_4","VIEW","","","","","","NO","NO",""
"orders-db","public","q4","VIEW","","","","","","NO","NO",""
"orders-db","public","store_types_summary","VIEW","","","","","","NO","NO",""
"orders-db","public","sales_summary_1","VIEW","","","","","","NO","NO",""
"orders-db","public","store_summary_view","VIEW","","","","","","YES","NO",""
"orders-db","public","sale_views_mj","VIEW","","","","","","NO","NO",""
"orders-db","public","q_4","VIEW","","","","","","NO","NO",""
"orders-db","public","sales_view","VIEW","","","","","","NO","NO",""
"orders-db","public","storesummary","VIEW","","","","","","NO","NO",""
"orders-db","public","mat_summary","VIEW","","","","","","NO","NO",""
"orders-db","public","sales_summary_stores","VIEW","","","","","","NO","NO",""
"orders-db","public","storessummary_alan","VIEW","","","","","","NO","NO",""
"orders-db","public","store_type_summary","VIEW","","","","","","NO","NO",""
"orders-db","public","store_sales_summary1","VIEW","","","","","","NO","NO",""
"orders-db","public","storesalesview","VIEW","","","","","","NO","NO",""
"orders-db","public","store_facts_23","VIEW","","","","","","NO","NO",""
"orders-db","public","new_store_summary_view","VIEW","","","","","","YES","NO",""
"orders-db","public","chickennoodlesoup","VIEW","","","","","","NO","NO",""
"orders-db","public","view_55","VIEW","","","","","","NO","NO",""
